code,trade_time,close,open,high,low,vol,amount,date,pre_close,change,pct_chg
000002.SZ,2025-01-02 09:57:00,7.32,7.34,7.34,7.32,913200.0,6695627.0,20250102,7.34,-0.02,-0.27
000002.SZ,2025-01-02 09:58:00,7.32,7.32,7.33,7.32,597500.0,4374000.0,20250102,7.32,0.0,0.0
000002.SZ,2025-01-02 09:59:00,7.3,7.32,7.32,7.3,893300.0,6528776.0,20250102,7.32,-0.02,-0.27
000002.SZ,2025-01-02 10:00:00,7.29,7.3,7.3,7.29,729600.0,5324465.0,20250102,7.3,-0.01,-0.14
000002.SZ,2025-01-02 10:01:00,7.31,7.3,7.32,7.29,938700.0,6861049.0,20250102,7.29,0.02,0.27
000002.SZ,2025-01-02 10:02:00,7.31,7.32,7.32,7.31,139300.0,1018826.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:03:00,7.31,7.31,7.32,7.31,452900.0,3311147.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:04:00,7.3,7.32,7.32,7.3,501200.0,3664595.0,20250102,7.31,-0.01,-0.14
000002.SZ,2025-01-02 10:05:00,7.32,7.3,7.32,7.3,279100.0,2040060.0,20250102,7.3,0.02,0.27
000002.SZ,2025-01-02 10:06:00,7.32,7.32,7.32,7.31,204400.0,1494740.0,20250102,7.32,0.0,0.0
000002.SZ,2025-01-02 10:07:00,7.31,7.31,7.32,7.31,328900.0,2405369.0,20250102,7.32,-0.01,-0.14
000002.SZ,2025-01-02 10:08:00,7.31,7.32,7.32,7.31,106300.0,777571.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:09:00,7.33,7.32,7.33,7.32,774401.0,5670024.5,20250102,7.31,0.02,0.27
000002.SZ,2025-01-02 10:10:00,7.31,7.32,7.33,7.31,393999.0,2883592.8,20250102,7.33,-0.02,-0.27
000002.SZ,2025-01-02 10:11:00,7.31,7.31,7.33,7.31,719800.0,5268967.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:12:00,7.3,7.32,7.32,7.3,642900.0,4699194.0,20250102,7.31,-0.01,-0.14
000002.SZ,2025-01-02 10:13:00,7.3,7.31,7.31,7.3,243200.0,1776205.0,20250102,7.3,0.0,0.0
000002.SZ,2025-01-02 10:14:00,7.31,7.3,7.31,7.3,642400.0,4695442.0,20250102,7.3,0.01,0.14
000002.SZ,2025-01-02 10:15:00,7.31,7.31,7.32,7.31,320000.0,2339402.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:16:00,7.31,7.31,7.31,7.31,321300.0,2347723.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:17:00,7.31,7.3,7.31,7.3,360400.0,2632024.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:18:00,7.3,7.3,7.31,7.3,136800.0,999313.0,20250102,7.31,-0.01,-0.14
000002.SZ,2025-01-02 10:19:00,7.3,7.3,7.31,7.3,592800.0,4328411.0,20250102,7.3,0.0,0.0
000002.SZ,2025-01-02 10:20:00,7.31,7.3,7.31,7.3,242700.0,1771916.0,20250102,7.3,0.01,0.14
000002.SZ,2025-01-02 10:21:00,7.31,7.3,7.31,7.3,170900.0,1248944.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 10:22:00,7.32,7.31,7.32,7.31,491600.0,3593899.0,20250102,7.31,0.01,0.14
000002.SZ,2025-01-02 10:23:00,7.31,7.32,7.32,7.3,290000.0,2119861.0,20250102,7.32,-0.01,-0.14
